query_id,category,text,keep
Q0001,band_specified,afterglow 노래로 조용한 분위기로 하루를 시작하고 싶어.,TRUE
Q0002,band_specified,헬로해피 노래 중에 신나게 틀어줘.,TRUE
Q0003,band_specified,로젤리아 노래 중에 무겁고 진지한 분위기로 틀어줘.,TRUE
Q0004,band_specified,뮤타입 노래로 격렬한 분위기로 틀어주고 싶어.,TRUE
Q0005,band_specified,파스파레 노래로 차분한 분위기로 음악 틀어줘.,TRUE
Q0006,band_specified,마이고 노래로 조용히 감성에 잠기고 싶어.,TRUE
Q0007,band_specified,포핀파티 노래로 신나게 하루 시작하고 싶어.,TRUE
Q0008,band_specified,아베무지카 노래로 깔끔하고 조용한 분위기로 틀어줘.,TRUE
Q0009,band_specified,RAS 노래 중에 조용히 틀어줘.,TRUE
Q0010,band_specified,헬로해피 노래로 밝고 긍정적인 분위기로 틀어줘.,TRUE
Q0011,band_specified,로젤리아 노래 중에 진지하고 무거운 분위기로 틀어줘.,TRUE
Q0012,band_specified,뮤타입 노래로 신나게 틀어줘.,TRUE
Q0013,band_specified,afterglow 노래로 깔끔한 분위기로 틀어줘.,TRUE
Q0014,band_specified,포핀파티 노래로 격렬한 분위기로 틀어줘.,TRUE
Q0015,band_specified,마이고 노래로 조용하고 평온한 분위기로 틀어줘.,TRUE
Q0016,band_specified,아베무지카 노래로 밝고 에너지 넘치는 분위기로 틀어줘.,TRUE
Q0017,band_specified,RAS 노래로 진지하고 감성적인 분위기로 틀어줘.,TRUE
Q0018,band_specified,모르포니카 노래로 신나고 활기찬 분위기로 틀어줘.,TRUE
Q0019,band_specified,아베무지카 노래 중에 격렬한 분위기로 틀어줘.,TRUE
Q0020,band_specified,헬로해피 노래로 신나게 운동하는 거 좋아.,TRUE
Q0021,band_specified,RAS 노래로 격렬한 분위기로 틀어줘.,TRUE
Q0022,band_specified,로젤리아 노래로 진지한 분위기로 영화 감상하고 싶어.,TRUE
Q0023,band_specified,afterglow 노래로 신나게 주말을 보내고 싶어.,TRUE
Q0024,band_specified,아베무지카 노래로 무겁고 진지한 분위기로 생각할 때 틀어줘.,TRUE
Q0025,band_specified,헬로해피 노래로 조용히 수면 시간을 보내고 싶어.,TRUE
Q0026,band_specified,모르포니카 노래 중에 격렬한 분위기로 운동하는 거 좋아.,TRUE
Q0027,band_specified,뮤타입 노래로 감성에 잠기고 싶어.,TRUE
Q0028,band_specified,마이고 노래로 신나게 친구들과 놀기 좋어.,TRUE
Q0029,band_specified,RAS 노래로 신나게 여유로운 시간을 보내고 싶어.,TRUE
