tag,band,song,text
afterglow__000,afterglow,ON YOUR MARK,"이 노래는 강한 결의와 열정의 감정을 담고 있다. 몽환적이고 꿈꾸는 분위기가 아닌 공격적이고 강한 에너지를 가지고 있으며, 절대적인 믿음과 동료애를 강조한다. 노래의 에너지는 잔잔함이 아닌 질주감과 함께 가슴을 뭉클하게 만들며, 절대적인 희망과 기쁨을 전달한다."
afterglow__001,afterglow,That Is How I Roll!,"이 노래는 강한 불만과 불쾌감을 담고 있으며, 공격적인 분위기가 느껴진다. 노래의 에너지는 매우 강렬하고 격렬하여 듣는 이로 하여금 자극을 받게 만든다. 그러나 이러한 격렬함 속에서도 희망과 자신감을 찾으려는 노력과 결심이 느껴져, 노래의 정서는 복잡하면서도 결의를 다지는 느낌을 준다."
ave_mujica__072,ave_mujica,KiLLKiSS,"이 노래는 강렬한 에너지와 열정적인 분위기를 가지고 있다. 노래의 정서는 벅찬 감정과 자유로운 기분을 동시에 느끼게 하며, 공격적인 분위기가 곳곳에 느껴진다. 노래의 에너지는 빠른 템포와 강렬한 리듬으로 인해 질주감이 느껴지며, 몽환적인 순간도 존재한다."
ave_mujica__073,ave_mujica,"Georgette Me, Georgette You","이 노래는 쓸쓸함과 애절함이 가득한 감정을 담고 있다. 몽환적이고 꿈같은 분위기로 듣는 이의 마음을 사로잡으며, 잔잔한 에너지로 감정을 깊이 있게 표현한다. 그러나 노래의 후반부로 갈수록 공격적인 에너지가 나타나며, 강렬한 감정의 폭발을 느끼게 한다."
hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,"이 노래는 밝고 경쾌한 분위기로 가득 차 있으며, 기쁨과 행복감이 넘쳐나는 감정을 담고 있다. 노래의 에너지는 매우 활기차고 상쾌하여 듣는 이로 하여금 기분을 좋게 만들어 준다. 또한, 이 노래는 따뜻하고 다정한 감정을 전달하며, 함께하는 사람들과의 유대감과 행복을 강조하는 몽환적이고梦幻적인 분위기를 가지고 있다."
hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,"이 노래는 신나는 에너지와 설렘을 담고 있다. 몽환적이고 환상적인 분위기가 아닌 대신에 밝고 경쾌한 분위기를 자아낸다. 노래의 정서는 벅찬 기쁨과 흥奋으로 가득 차 있으며, 청각적이고 시각적인 상상력을 자극하는 듯한 느낌을 준다."
morfonica__180,morfonica,Daylight -デイライト-,"이 노래는 쓸쓸함과 불안감을 담고 있으며, 몽환적인 분위기가 느껴진다. 에너지는 잔잔한 편으로, 감정의 깊이를 표현하는 것에 중점이 맞춰져 있다. 노래의 전반적인 분위기는 희망과 불안의 혼합으로, 밝고 낙관적인 메시지와 어둠의 감정 사이에서 오가는 듯한 느낌을 준다."
morfonica__181,morfonica,メランコリックララバイ,"이 노래는 벅찬 에너지와 몽환적인 분위기를 가지고 있다. 쓸쓸함과 벅참이 공존하는 감정으로 가득 차 있으며, 공격적인 에너지와 잔잔함이 교차한다. 이 노래의 정서는 자아 발견과 자기 성찰을 통해 자신의 감정을 이해하고, 앞으로 나아가기 위한 힘을 찾는 것에 대한 이야기로, 이는 듣는 이로 하여금 깊은 생각에 빠지게 만든다."
mugendai_mutype__237,mugendai_mutype,アイの夢限,"이 노래는 쓸쓸함과 불안감을 담고 있으며, 몽환적인 분위기가 느껴진다. 노래의 에너지는 잔잔함과 긴장감이 공존하며, 가사의 감정적인 깊이와 복잡성이 돋보인다. 전체적으로 노래는 어둠과 불확실성 속에서 희망과 사랑을 찾으려는 절실함과 간절함을 표현하고 있다."
mugendai_mutype__238,mugendai_mutype,どんがらがっしゃん,"이 노래는 쓸쓸함과 불만을 담고 있으며, 몽환적이고 공격적인 분위기가 공존한다. 에너지는 잔잔한 감정에서부터 격렬한 질주감까지 변화를 보인다. 전체적으로는 어둡고 비관적인 감정과 분위기가 강조되며, 자유와 반란의 에너지가 느껴진다."
mygo__260,mygo,迷星叫,"이 노래는 쓸쓸함과 벅참을 담고 있으며, 몽환적인 분위기를 풍긴다. 잔잔한 에너지로 시작하지만, 감정이 고조되면서 조금씩 격앙된 분위기로 전환된다. 전체적으로는 감성적인 분위기와 절제된 에너지가 조화롭게 어우러져 있다."
mygo__261,mygo,壱雫空,"이 노래는 쓸쓸함과 몽환적인 분위기를 가지고 있다. 잔잔한 에너지로 시작하여 감정의 깊이를 더해간다. 노래의 분위기는 공격적이기보다는 내성적이고 감성적인 측면을 강조하며, 감정의 흐름을 따라가며 깊은 생각에 잠기게 만든다."
pastel_palettes__301,pastel_palettes,TITLE IDOL,"이 노래는 밝고 활기찬 분위기로 가득 차 있으며, 청각적 에너지로 가득 찬 감동적인 노래이다. 이 노래는 따뜻함과 희망을 전달하며, 청취자를 위로하고 격려하는 감정을 담고 있다. 또한, 이 노래는 강한 의지와 결심을 표현하며, 청취자에게 용기와 자신감을 북돋아주는 에너지를 전달한다."
pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,"이 노래는 밝고 경쾌한 분위기로 가득 차 있으며, 청각적인 에너지로 듣는 이의 마음을 들뜨게 만든다. 노래의 정서는 낙관적이고 도전적인 감정을 담고 있으며, 실패를 두려워하지 않고 새로운 도전을 향해 나아가는 의지를 표현한다. 전반적으로 이 노래는 상쾌하고 활기찬 에너지로 가득 차 있으며, 듣는 이로 하여금 새로운 도전을 향해 나아가고자 하는 의지를 불러일으킨다."
