query_id,category,text,keep
Q0001,band_specified,- afterglow 노래로 조용한 분위기로 하루를 시작하고 싶어.,
Q0002,band_specified,- hello_happy_world 노래 중에 신나게 틀어줘.,
Q0003,band_specified,- roselia 노래 중에 무겁고 진지한 분위기로 틀어줘.,
Q0004,band_specified,- mugendai_mutype 노래로 격렬한 분위기로 틀어주고 싶어.,
Q0005,band_specified,- pastel_palettes 노래로 차분한 분위기로 음악 틀어줘.,
Q0006,band_specified,- mygo 노래로 조용히 감성에 잠기고 싶어.,
Q0007,band_specified,- poppin_party 노래로 신나게 하루 시작하고 싶어.,
Q0008,band_specified,- ave_mujica 노래로 깔끔하고 조용한 분위기로 틀어줘.,
Q0009,band_specified,- raise_a_suilen 노래 중에 조용히 틀어줘.,
Q0010,band_specified,- hello_happy_world 노래로 밝고 긍정적인 분위기로 틀어줘.,
Q0011,band_specified,- roselia 노래 중에 진지하고 무거운 분위기로 틀어줘.,
Q0012,band_specified,- mugendai_mutype 노래로 신나게 틀어줘.,
Q0013,band_specified,- afterglow 노래로 깔끔한 분위기로 틀어줘.,
Q0014,band_specified,- poppin_party 노래로 격렬한 분위기로 틀어줘.,
Q0015,band_specified,- mygo 노래로 조용하고 평온한 분위기로 틀어줘.,
Q0016,band_specified,- ave_mujica 노래로 밝고 에너지 넘치는 분위기로 틀어줘.,
Q0017,band_specified,- raise_a_suilen 노래로 진지하고 감성적인 분위기로 틀어줘.,
Q0018,band_specified,- morfonica 노래로 신나고 활기찬 분위기로 틀어줘.,
Q0019,band_specified,- ave_mujica 노래 중에 격렬한 분위기로 틀어줘.,
Q0020,band_specified,- hello_happy_world 노래로 신나게 운동하는 거 좋아.,
Q0021,band_specified,- raise_a_suilen 노래로 격렬한 분위기로 틀어줘.,
Q0022,band_specified,- roselia 노래로 진지한 분위기로 영화 감상하고 싶어.,
Q0023,band_specified,- afterglow 노래로 신나게 주말을 보내고 싶어.,
Q0024,band_specified,- ave_mujica 노래로 무겁고 진지한 분위기로 생각할 때 틀어줘.,
Q0025,band_specified,- hello_happy_world 노래로 조용히 수면 시간을 보내고 싶어.,
Q0026,band_specified,- morfonica 노래 중에 격렬한 분위기로 운동하는 거 좋아.,
Q0027,band_specified,- mugendai_mutype 노래로 감성에 잠기고 싶어.,
Q0028,band_specified,- mygo 노래로 신나게 친구들과 놀기 좋어.,
Q0029,band_specified,- raise_a_suilen 노래로 신나게 여유로운 시간을 보내고 싶어.,
Q0030,band_specified,- roselia 노래로 조용한 분위기로 생각할 때 틀어줘.,
Q0031,band_specified,- Ave Mujica 노래 중에 신나는 піс사를 틀어줘.,
Q0032,band_specified,- hello_happy_world 노래로 활발한 분위기로 음악 틀어줘.,
Q0033,band_specified,- morfonica 노래 중에 차분한 분위기로 틀어줘.,
Q0034,band_specified,- mygo 노래 중에 아름다운 분위기로 틀어줘.,
Q0035,band_specified,- roselia 노래 중에 감동적인 분위기로 틀어줘.,
Q0036,band_specified,- afterglow 노래로 감성적인 분위기로 음악 틀어줘.,
Q0037,band_specified,- Ave Mujica 노래로 강렬한 분위기로 틀어줘.,
Q0038,band_specified,4. pastel_palettes 노래 중에 감성적으로 노래를 틀어줘.,
Q0039,band_specified,5. mugendai_mutype 노래로 차분한 분위기로 틀어줘.,
Q0040,band_specified,6. ave_mujica 노래 중에 무겁게 노래를 틀어줘.,
Q0041,band_specified,9. mygo 노래로 조용히 틀어줘.,
Q0042,band_specified,10. hello_happy_world 노래로 밝은 분위기로 노래를 틀어줘.,
Q0043,band_specified,11. morfonica 노래 중에 신나게 노래를 틀어줘.,
Q0044,band_specified,13. pastel_palettes 노래로 감동적인 분위기로 틀어줘.,
Q0045,band_specified,15. ave_mujica 노래로 무거운 분위기로 틀어줘.,
Q0046,band_specified,16. poppin_party 노래로 에너지 넘치는 분위기로 틀어줘.,
Q0047,band_specified,17. roselia 노래 중에 슬픈 분위기로 틀어줘.,
Q0048,band_specified,18. mygo 노래로 진지한 분위기로 틀어줘.,
Q0049,band_specified,20. morfonica 노래로 신나는 분위기로 틀어줘.,
Q0050,band_specified,'morfonica 노래 중에 진지하고 추억스러운 분위기로 틀어줘.',
Q0051,band_specified,'ave_mujica 노래로 차분한 분위기로 공부할 때 틀어줘.',
Q0052,band_specified,'raise_a_suilen 노래 중에 무겁고 감성적인 분위기로 틀어줘.',
Q0053,band_specified,'pastel_palettes 노래 중에 밝고 vui vẻ한 분위기로 틀어줘.',
Q0054,band_specified,'mygo 노래 중에 조용하고 편안한 분위기로 틀어줘.',
Q0055,band_specified,'roselia 노래로 신나고 에너지 넘치는 분위기로 운동할 때 틀어줘.',
