tag,band,song,desc,keyword_main,keyword_sub,source
afterglow__000,afterglow,ON YOUR MARK,"강한 결의와 열정, 그리고 동료애와 희망이 가득한 노래이다.",결의,희망,summary-fallback
afterglow__001,afterglow,That Is How I Roll!,강렬한 불만과 격렬한 에너지 속에서 희망과 자신감을 찾으려는 결심이 느껴진다.,불만,결심,summary-fallback
ave_mujica__072,ave_mujica,KiLLKiSS,벅찬 감정과 자유로운 기분이 공존하는 열정적인 순간이 느껴진다.,열정,자유,summary-fallback
ave_mujica__073,ave_mujica,"Georgette Me, Georgette You","쓸쓸함과 애절함이 가득한 감정으로 듣는 이의 마음을 사로잡으며, 강렬한 감정의 폭발을 느끼게 한다.",애절함,쓸쓸함,summary-fallback
hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,기쁨과 행복감이 넘치며 따뜻한 감정과 함께하는 사람들과의 유대감을 강조하는 노래이다.,행복,기쁨,summary-fallback
morfonica__180,morfonica,Daylight -デイライト-,쓸쓸함과 불안감이 공존하는 희망과 어둠의 혼합된 감정으로 가득 찬 노래이다.,불안감,희망,summary-fallback
morfonica__181,morfonica,メランコリックララバイ,"깊은 생각과 자기 성찰을 통해 자신의 감정을 이해하고 앞으로 나아가기 위한 힘을 찾는 과정을 담은 노래로, 쓸쓸함과 벅참이 공존하는 감정으로 가득 차 있다.",성찰,쓸쓸함,summary-fallback
mugendai_mutype__237,mugendai_mutype,アイの夢限,어둠과 불확실성 속에서 희망과 사랑을 찾으려는 절실함과 간절함이 느껴진다.,절실함,불안감,summary-fallback
mugendai_mutype__238,mugendai_mutype,どんがらがっしゃん,어둡고 비관적인 감정과 자유와 반란의 에너지가 공존하는 쓸쓸한 상황이 펼쳐진다.,쓸쓸함,반란,summary-fallback
mygo__260,mygo,迷星叫,쓸쓸함과 벅참이 감성적인 분위기 속에서 격앙된 감정을 담고 있다.,쓸쓸함,벅참,summary-fallback
mygo__261,mygo,壱雫空,깊은 생각에 잠기게 만드는 내성적이고 감성적인 감정의 흐름이 노래를 지배한다.,쓸쓸함,감성,summary-fallback
pastel_palettes__301,pastel_palettes,TITLE IDOL,"이 노래는 밝고 활기찬 분위기로 가득 차 있으며, 따뜻함과 희망을 전달하며 청취자를 위로하고 격려하는 감정을 담고 있다.",희망,자신감,summary-fallback
pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,밝고 경쾌한 분위기 속에서 낙관적이고 도전적인 감정이 듣는 이의 마음을 들뜨게 만든다.,도전,낙관,summary-fallback
hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,이 노래는 밝고 경쾌한 분위기 속에서 벅찬 기쁨과 흥분이 넘쳐나는 감정을 담고 있다.,기쁨,흥분,summary-fallback
