prompt_idx,prompt,field,n,min,max,mean,std
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,valence,15,0.4,0.6,0.532,0.0648
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,lufs_integrated,15,0.5,0.9,0.732,0.1152
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,lra,15,0.04,0.4,0.16,0.1106
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,danceability_norm,15,0.32,0.65,0.4667,0.1066
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,instr_stem_ratio,15,0.6,0.69,0.6387,0.0332
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,speech_median,15,0.21,0.42,0.2887,0.0697
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",valence,10,0.7,0.95,0.82,0.0812
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",lufs_integrated,10,0.8,0.95,0.897,0.0478
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",lra,10,0.02,0.15,0.066,0.0425
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",danceability_norm,10,0.7,0.9,0.81,0.08
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",instr_stem_ratio,10,0.6,0.85,0.74,0.0663
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",speech_median,10,0.35,0.65,0.5,0.0949
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",valence,6,0.2,0.3,0.2583,0.0449
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",lufs_integrated,6,0.18,0.3,0.23,0.05
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",lra,6,0.2,0.8,0.475,0.2479
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",danceability_norm,6,0.18,0.2,0.1967,0.0075
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",instr_stem_ratio,6,0.28,0.4,0.33,0.05
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",speech_median,6,0.18,0.2,0.1967,0.0075
3,"아침 조깅용 30분, 점점 빨라지는 흐름",valence,11,0.4,0.85,0.6227,0.1338
3,"아침 조깅용 30분, 점점 빨라지는 흐름",lufs_integrated,11,0.7,0.9,0.8136,0.071
3,"아침 조깅용 30분, 점점 빨라지는 흐름",lra,11,0.05,0.2,0.1355,0.0416
3,"아침 조깅용 30분, 점점 빨라지는 흐름",danceability_norm,11,0.4,0.85,0.6045,0.1322
3,"아침 조깅용 30분, 점점 빨라지는 흐름",instr_stem_ratio,11,0.6,0.85,0.7045,0.0752
3,"아침 조깅용 30분, 점점 빨라지는 흐름",speech_median,11,0.3,0.6,0.4091,0.0848
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,valence,9,0.68,0.8,0.7333,0.0346
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,lufs_integrated,9,0.8,0.92,0.8833,0.0346
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,lra,9,0.03,0.17,0.1,0.0494
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,danceability_norm,9,0.6,0.8,0.7,0.0481
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,instr_stem_ratio,9,0.68,0.72,0.6967,0.0115
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,speech_median,9,0.38,0.42,0.3967,0.0115
5,시험공부 집중용 잔잔한 배경음악 90분,valence,9,0.35,0.45,0.4222,0.0416
5,시험공부 집중용 잔잔한 배경음악 90분,lufs_integrated,9,0.25,0.7,0.5556,0.2047
5,시험공부 집중용 잔잔한 배경음악 90분,lra,9,0.1,0.2,0.1389,0.0314
5,시험공부 집중용 잔잔한 배경음악 90분,danceability_norm,9,0.2,0.4,0.3389,0.0875
5,시험공부 집중용 잔잔한 배경음악 90분,instr_stem_ratio,9,0.5,0.6,0.5667,0.0471
5,시험공부 집중용 잔잔한 배경음악 90분,speech_median,9,0.15,0.3,0.2556,0.0643
6,잠들기 직전 듣는 아주 조용한 곡,valence,6,0.18,0.4,0.2667,0.095
6,잠들기 직전 듣는 아주 조용한 곡,lufs_integrated,6,0.2,0.32,0.2333,0.0485
6,잠들기 직전 듣는 아주 조용한 곡,lra,6,0.04,0.2,0.1,0.0709
6,잠들기 직전 듣는 아주 조용한 곡,danceability_norm,6,0.18,0.22,0.2,0.0115
6,잠들기 직전 듣는 아주 조용한 곡,instr_stem_ratio,6,0.28,0.4,0.3333,0.0485
6,잠들기 직전 듣는 아주 조용한 곡,speech_median,6,0.18,0.22,0.2,0.0115
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,valence,7,0.4,0.5,0.4286,0.0364
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,lufs_integrated,7,0.5,0.6,0.5429,0.0416
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,lra,7,0.05,0.2,0.12,0.0697
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,danceability_norm,7,0.18,0.35,0.2757,0.057
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,instr_stem_ratio,7,0.38,0.55,0.4329,0.0602
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,speech_median,7,0.18,0.25,0.2043,0.0199
8,혼자 청소하면서 듣는 무난한 배경음악,valence,8,0.55,0.6,0.5675,0.0171
8,혼자 청소하면서 듣는 무난한 배경음악,lufs_integrated,8,0.78,0.82,0.7963,0.0158
8,혼자 청소하면서 듣는 무난한 배경음악,lra,8,0.12,0.16,0.1375,0.013
8,혼자 청소하면서 듣는 무난한 배경음악,danceability_norm,8,0.48,0.53,0.505,0.0173
8,혼자 청소하면서 듣는 무난한 배경음악,instr_stem_ratio,8,0.6,0.68,0.6262,0.0269
8,혼자 청소하면서 듣는 무난한 배경음악,speech_median,8,0.34,0.38,0.3563,0.0111
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",valence,10,0.4,0.8,0.61,0.1428
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",lufs_integrated,10,0.6,0.9,0.755,0.1193
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",lra,10,0.05,0.35,0.18,0.098
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",danceability_norm,10,0.4,0.8,0.6,0.1265
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",instr_stem_ratio,10,0.5,0.8,0.63,0.0927
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",speech_median,10,0.25,0.5,0.355,0.0687
