variant,query_id,trial,parse_success,raw_json,start_energy,end_energy,stage_count,stage_energies,resolved_energies
baseline,A1,0,True,"{""brightness"": -0.2, ""start_energy"": 0.1, ""end_energy"": 0.25, ""stage_count"": 2, ""target_minutes"": 45, ""interpretation_summary"": ""장마철의 서정적인 분위기를 즐겁게 날려보는 노래로, 습기와 함께 가득한 감성과 음악을 즐겨보세요."", ""tags"": [""장마"", ""서정"", ""꿉꿉함"", ""습기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.1,0.25,2.0,,"[0.1, 0.25]"
baseline,A1,1,True,"{""brightness"": -0.2, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 90, ""interpretation_summary"": ""장마철의 서정적인 분위기를 즐겁게 날려주는 노래로, 습기와 함께 마음을 청결하게 만드는 음악을 찾아보세요."", ""tags"": [""장마"", ""서정"", ""청결"", ""꿉꿉함""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
baseline,A1,2,True,"{""brightness"": -0.2, ""start_energy"": 0.15, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": 90, ""interpretation_summary"": ""장마철의 서정적인 분위기를 즐기며 습기와 함께 마음을 맑게 하는 노래들로 가득한 플레이리스트"", ""tags"": [""장마"", ""서정"", ""습기"", ""꿉꿉함""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.2,2.0,,"[0.15, 0.2]"
baseline,A1,3,True,"{""brightness"": -0.2, ""start_energy"": 0.15, ""end_energy"": 0.25, ""stage_count"": 2, ""target_minutes"": 45, ""interpretation_summary"": ""장마철의 서정적인 분위기를 즐겁게 날려주는 노래로, 습기와 함께 마음을 깨끗하게 씻어내는 음악을 찾습니다."", ""tags"": [""장마"", ""서정"", ""꿉꿉"", ""습기"", ""청소""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.25,2.0,,"[0.15, 0.25]"
baseline,A1,4,True,"{""brightness"": -0.3, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": 90, ""interpretation_summary"": ""장마철의 서정적인 분위기를 즐겁게 날려주는 노래로, 습기와 함께 마음을 청결하게 하는 음악을 찾습니다."", ""tags"": [""장마"", ""서정"", ""꿉꿉"", ""청결""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
baseline,A2,0,True,"{""brightness"": 1.0, ""start_energy"": 0.7, ""end_energy"": 0.7, ""stage_count"": 2, ""target_minutes"": 30, ""interpretation_summary"": ""신나게 달리는 기분을 담은 음악으로 30분간 달리며 에너지를 풀어보세요"", ""tags"": [""달리기"", ""신나"", ""운동""], ""song_type"": ""all"", ""same_as_previous"": false}",0.7,0.7,2.0,,"[0.7, 0.7]"
baseline,A2,1,True,"{""brightness"": 1.0, ""start_energy"": 0.7, ""end_energy"": 0.7, ""stage_count"": 2, ""target_minutes"": 40, ""interpretation_summary"": ""신나게 달리는 운동을 위한 에너지 있는 플레이리스트"", ""tags"": [""운동"", ""신나"", ""달리기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.7,0.7,2.0,,"[0.7, 0.7]"
baseline,A2,2,True,"{""brightness"": 1.0, ""start_energy"": 0.7, ""end_energy"": 0.7, ""stage_count"": 2, ""target_minutes"": 30, ""interpretation_summary"": ""신나게 달리는 운동을 위한 에너지 충전"", ""tags"": [""달리기"", ""운동"", ""신나게""], ""song_type"": ""all"", ""same_as_previous"": false}",0.7,0.7,2.0,,"[0.7, 0.7]"
baseline,A2,3,True,"{""brightness"": 0.8, ""start_energy"": 0.65, ""end_energy"": 0.65, ""stage_count"": 2, ""target_minutes"": 40, ""interpretation_summary"": ""신나게 달리는 운동, 에너지와 자신감을 찾는 시간"", ""tags"": [""달리기"", ""운동"", ""신나게""], ""song_type"": ""all"", ""same_as_previous"": false}",0.65,0.65,2.0,,"[0.65, 0.65]"
baseline,A2,4,True,"{""brightness"": 0.8, ""start_energy"": 0.6, ""end_energy"": 0.6, ""stage_count"": 2, ""target_minutes"": 40, ""interpretation_summary"": ""신나게 달리는 운동을 위한 에너지 있는 플레이리스트"", ""tags"": [""달리기"", ""운동"", ""신나기""], ""song_type"": ""all"", ""same_as_previous"": false}",0.6,0.6,2.0,,"[0.6, 0.6]"
baseline,A3,0,True,"{""brightness"": 0.0, ""start_energy"": 0.2, ""end_energy"": 0.2, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""카페에서 편안한 분위기를 조성하는 음악들로 채워진 잔잔한 플레이리스트"", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.2,0.2,2.0,,"[0.2, 0.2]"
baseline,A3,1,True,"{""brightness"": 0.0, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 60, ""interpretation_summary"": ""카페에서 편안한 분위기를 조성하는 음악들로 채워진 잔잔한 플레이리스트"", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
baseline,A3,2,True,"{""brightness"": 0.0, ""start_energy"": 0.15, ""end_energy"": 0.15, ""stage_count"": 2, ""target_minutes"": 50, ""interpretation_summary"": ""카페에서 편안한 분위기를 연출하는 잔잔한 플레이리스트"", ""tags"": [""카페"", ""잔잔"", ""편안""], ""song_type"": ""all"", ""same_as_previous"": false}",0.15,0.15,2.0,,"[0.15, 0.15]"
