rank,idx,band,song,url,dist,mode_score,harmonic_ratio,contrast,rms,voiced_frac_mix,similarity_rating_1to5,listener_note
1,219,morfonica,QUEEN (Cover),https://youtu.be/_FiExtFisto,1.316,-0.157,0.855,22.52,0.342,0.537,2,"단조 느낌, 가련하다는 느낌은 아니지만, 말광량이 아가씨 느낌남."
2,217,morfonica,音がえしのセレナーデ,https://youtu.be/sUaDAY9u4y8,1.362,-0.002,0.857,22.95,0.321,0.527,4,장조 느낌. 비슷한 음색임. 그러나 밝은 느낌.
3,202,morfonica,Angel's Ladder,https://youtu.be/7Hml249yhKg,1.392,-0.031,0.842,22.31,0.324,0.425,5,장조 느낌. 아주 밝은 느낌. 게다가 힘차고 맑은 날의 감상이 느껴짐.
4,197,morfonica,両翼のBrilliance,https://youtu.be/O0jB7IA5tZg,1.418,-0.254,0.854,22.3,0.336,0.644,3,"단조같긴한데, 비장하고 세련된 느낌. 중후하기 까지 함. 가련한 느낌은 아님."
5,192,morfonica,Ever Sky Blue,https://youtu.be/Ar7QtswUNGw,1.459,-0.145,0.849,22.59,0.303,0.324,3,힘차고 결심에 다찬 느낌. 마치 긍정적인 다짐을 다지는 느낌도 듦.
6,191,morfonica,誓いのWingbeat,https://youtu.be/nnpD32__lAY,1.465,-0.147,0.825,22.01,0.321,0.429,2,세련되고 우아한 느낌. 인트로때문인가? 그런데 전체적으로 우아하게 질주한다는 느낌이 듦.
7,190,morfonica,"寄る辺のSunny, Sunny",https://youtu.be/6C4NOz-t3QA,1.47,-0.157,0.807,22.35,0.315,0.46,5,아주 맑은 느낌. 아련하기 까지 함.
8,235,morfonica,V.I.P (Cover),https://youtu.be/B4O27f5P8Dk,1.511,0.065,0.888,22.57,0.302,0.574,3,밝은 느낌.
9,91,ave_mujica,in your blue eyes,https://youtu.be/kVMuEQ3uXWc,1.556,-0.087,0.823,22.75,0.318,0.642,1,esora no clover보다 좀 더 어둡고 가련한 느낌. 그리고 음색도 보컬과 코러스가 오페라하는 듯한 고음과 악기세션의 소리가 헤비메탈 사운드를 담아 극적으로 더 어둡게 들림. 그러나 화성은 장조같다는 거임.
10,218,morfonica,蒼穹へのトレイル,https://youtu.be/eAjX1Ihvtac,1.57,-0.146,0.854,21.9,0.348,0.57,4,밝은 느낌이 지배적
11,223,morfonica,祝福 (Cover),https://youtu.be/A8BRPZIHCs4,1.6,0.022,0.868,23.03,0.295,0.457,4,"밝고, 힘차게 나아가는 느낌도 듦."
12,201,morfonica,Secret Dawn,https://youtu.be/eWqv5RB6jng,1.603,-0.009,0.887,23.2,0.263,0.509,5,새벽녘같은 느낌이 남. 밝아오는 느낌.
13,200,morfonica,ティリカモニカリラ,https://youtu.be/d32zOmV118k,1.673,-0.109,0.847,22.71,0.3,0.703,2,약간은 잔혹한 동화 속에 갇힌 느낌. 어둡고 무언가에 쫓기는 느낌. 그러나 너무 어둡지 않게 동화적으로 통통 튀는 느낌.
14,204,morfonica,Tempest,https://youtu.be/OWTf5lEPT_g,1.677,-0.04,0.842,22.21,0.307,0.521,3,"폭풍처럼 질주하는 느낌남. 그도 그럴게 템포가 아주 빠르게 인트로부터 몰아치는데, 바이올린도 섬세한 선율로 받쳐주고 버스1이 시작됨."
15,216,morfonica,Shining Leaves,https://youtu.be/HkruyxEhOPI,1.681,0.036,0.868,22.78,0.34,0.42,5,밝은 느낌. 
16,198,morfonica,Steer to Utopia,https://youtu.be/wjpVRH7GOFc,1.684,-0.114,0.826,22.13,0.354,0.454,5,아주 따뜻하고 밝아오는 아침햇살 같은 노래. 그리고 힘찬 발걸음 느낌도 남.
17,206,morfonica,MUGEN Reverberate!,https://youtu.be/B6602-OMtZI,1.709,-0.218,0.831,22.32,0.241,0.562,2,아주 약간 어두운 동화느낌남. 그러나 템포가 빨라 질주하는 느낌도 남. 수수께끼의 숲에서 헤메이며 달리는 느낌.
