tag,band,song,text
afterglow__000,afterglow,ON YOUR MARK,"희망, 용기, 우정, 강렬, 열정, 자유, 꿈, 절실"
afterglow__001,afterglow,That Is How I Roll!,"자유, 반항, 불안, 절망, 열정, 독립, 무기력, 해방"
ave_mujica__072,ave_mujica,KiLLKiSS,"감동, 자유, 에너지, 열정, 아름다움, 혼란, 절망, 무력감"
ave_mujica__073,ave_mujica,"Georgette Me, Georgette You","사랑, 아픔, 밤, 기다림, 불안, 외로움, 갈증, 절망"
hello_happy_world__106,hello_happy_world,キミがいなくちゃっ！,"행복, 기쁨, 자유, 사랑, 따뜻함, 밝음, 경쾌, 열정"
hello_happy_world__107,hello_happy_world,ハイファイブ∞あどべんちゃっ,"兴奋, 모험, 자유, 행복, 설렘, 신남, 열정, 유연함"
morfonica__180,morfonica,Daylight -デイライト-,"불안, 어둠, 외로움, 절망, 희망, 불확실, 갈망, 불안정"
morfonica__181,morfonica,メランコリックララバイ,"사랑, 자유, 열정, 에너지, 반란, 혼란, 절망, 해방"
mugendai_mutype__237,mugendai_mutype,アイの夢限,"불안, 외로움, 어둠, 불확실, 혼란, 절망, 불만, 고민"
mugendai_mutype__238,mugendai_mutype,どんがらがっしゃん,"혼란, 불만, 절망, 무기력, 자유, 반란, 혼돈, 무책임"
mygo__260,mygo,迷星叫,"희망, 외로움, 불안, 혼란, 애잔, 쓸쓸, 고민, 절망"
mygo__261,mygo,壱雫空,"비, 슬픔, 외로움, 희망, 자유, 평온, 애잔, 낙관"
pastel_palettes__301,pastel_palettes,TITLE IDOL,"희망, 열정, 용기, 따뜻함, 꿈, 행복, 자유, 평화"
pastel_palettes__302,pastel_palettes,ワクワクmeetsトリップ,"환영, 여행, 음악, 자유, 열정, 도전, 행복, 에너지"
