idx,band,song,url,prior_esora_similarity_1to5,prior_listener_note,pathos_rating_0to10,pathos_note
219,morfonica,QUEEN (Cover),https://youtu.be/_FiExtFisto,2,"단조 느낌, 가련하다는 느낌은 아니지만, 말광량이 아가씨 느낌남.",,
217,morfonica,音がえしのセレナーデ,https://youtu.be/sUaDAY9u4y8,4,장조 느낌. 비슷한 음색임. 그러나 밝은 느낌.,,
202,morfonica,Angel's Ladder,https://youtu.be/7Hml249yhKg,5,장조 느낌. 아주 밝은 느낌. 게다가 힘차고 맑은 날의 감상이 느껴짐.,,
197,morfonica,両翼のBrilliance,https://youtu.be/O0jB7IA5tZg,3,"단조같긴한데, 비장하고 세련된 느낌. 중후하기 까지 함. 가련한 느낌은 아님.",,
192,morfonica,Ever Sky Blue,https://youtu.be/Ar7QtswUNGw,3,힘차고 결심에 다찬 느낌. 마치 긍정적인 다짐을 다지는 느낌도 듦.,,
191,morfonica,誓いのWingbeat,https://youtu.be/nnpD32__lAY,2,세련되고 우아한 느낌. 인트로때문인가? 그런데 전체적으로 우아하게 질주한다는 느낌이 듦.,,
190,morfonica,"寄る辺のSunny, Sunny",https://youtu.be/6C4NOz-t3QA,5,아주 맑은 느낌. 아련하기 까지 함.,,
235,morfonica,V.I.P (Cover),https://youtu.be/B4O27f5P8Dk,3,밝은 느낌.,,
91,ave_mujica,in your blue eyes,https://youtu.be/kVMuEQ3uXWc,1,esora no clover보다 좀 더 어둡고 가련한 느낌. 그리고 음색도 보컬과 코러스가 오페라하는 듯한 고음과 악기세션의 소리가 헤비메탈 사운드를 담아 극적으로 더 어둡게 들림. 그러나 화성은 장조같다는 거임.,,
218,morfonica,蒼穹へのトレイル,https://youtu.be/eAjX1Ihvtac,4,밝은 느낌이 지배적,,
223,morfonica,祝福 (Cover),https://youtu.be/A8BRPZIHCs4,4,"밝고, 힘차게 나아가는 느낌도 듦.",,
201,morfonica,Secret Dawn,https://youtu.be/eWqv5RB6jng,5,새벽녘같은 느낌이 남. 밝아오는 느낌.,,
200,morfonica,ティリカモニカリラ,https://youtu.be/d32zOmV118k,2,약간은 잔혹한 동화 속에 갇힌 느낌. 어둡고 무언가에 쫓기는 느낌. 그러나 너무 어둡지 않게 동화적으로 통통 튀는 느낌.,,
204,morfonica,Tempest,https://youtu.be/OWTf5lEPT_g,3,"폭풍처럼 질주하는 느낌남. 그도 그럴게 템포가 아주 빠르게 인트로부터 몰아치는데, 바이올린도 섬세한 선율로 받쳐주고 버스1이 시작됨.",,
216,morfonica,Shining Leaves,https://youtu.be/HkruyxEhOPI,5,밝은 느낌. ,,
198,morfonica,Steer to Utopia,https://youtu.be/wjpVRH7GOFc,5,아주 따뜻하고 밝아오는 아침햇살 같은 노래. 그리고 힘찬 발걸음 느낌도 남.,,
206,morfonica,MUGEN Reverberate!,https://youtu.be/B6602-OMtZI,2,아주 약간 어두운 동화느낌남. 그러나 템포가 빨라 질주하는 느낌도 남. 수수께끼의 숲에서 헤메이며 달리는 느낌.,,
344,pastel_palettes,Y.O.L.O！！！！！(パスパレver.),https://youtu.be/yKkCyuTOi8Q,5,완전 밝은 느낌.,,
181,morfonica,メランコリックララバイ,https://youtu.be/D_uUbtZUOPc,3,"경쾌하고 통통튀는 느낌, 그리고 캉캉 춤추는 느낌. 드럼과 기타, 베이스가 은근 중후하게 받쳐주는데, 바이올린과 보컬, 코러스가 밝게 묶어주는 느낌.",,
221,morfonica,輪舞-revolution (Cover),https://youtu.be/RquM6y7cTZU,3,약간 가련한 느낌. 그러나 아직은 희망을 잃지 않은듯한 느낌. 템포와 리듬에서 그런 느낌을 받음.,,
229,morfonica,青空のラプソディ (Cover),https://youtu.be/ZK7DbX4BApQ,5,완전 밝고 발랄한 느낌.,,
232,morfonica,COLORFUL BOX (Cover),https://youtu.be/bdjK1IZSudQ,5,밝은 느낌.,,
571,roselia,BLACK SHOUT,https://youtu.be/MmnU-s1TdsI,2,"고딕하고 경건한 느낌이 인트로를 지배, 이어 버스1로 들어서면서 파워코드가 지배적으로 들리면서 헤비한 사운드가 중후한 느낌을 받쳐줌. 그러나 가련한 느낌은 아님. 도리어 연약하지만서도 강건한 느낌.",,
184,morfonica,カラフルリバティー,https://youtu.be/HqDa4NOAt8w,5,기타와 바이올린이 밝은 느낌을 자아내는 곡.,,
224,morfonica,Overdose (Cover),https://youtu.be/ILjUR5nQQPA,2,"해가 다 저문 저녁같은 어두운 노래. 약간은 피폐하지만 리듬감에 절어 고통을 잊고자 몸부림치는, 몸부림이 리듬이 된건지 그런 상상이 드는 느낌. 리듬감과 사이사이 바이올린이 파고드는 선율이 이쁜 노래.",,
556,raise_a_suilen,Get Wild (Cover),https://youtu.be/ezQiWaCbpug,3,"일렉트로 사운드가 질주감을 일으키는 노래. 그렇게 밝지도, 어둡지도 않지만, 아주 힘차게 질주하는 사이버펑크 오토바이같은 노래.",,
73,ave_mujica,"Georgette Me, Georgette You",https://youtu.be/vKDa7yfpd2M,1,아주 가련한 선율이 인트로를 길게 감싸는 노래. 오히려 너무 슬퍼서 오페라로 절제하며 절규하는 듯한 노래. 이윽고 인트로가 끝나면 가련함을 광기로 돌변하는 노래.,,
225,morfonica,かくれんぼ (Cover),https://youtu.be/GGYr_vW75pI,4,새벽 동틀 녘같은 밝아오는 느낌을 주는 노래.,,
227,morfonica,ALIVE (Cover),https://youtu.be/fzIHYLmJcy4,4,"인트로 바이올린 선율이 시선을 빼앗고, 인트로 이후에는 연약하지만 희망을 외치는 느낌.",,
