pair_id,tag,band,song,url,desc,category1,category2,source,score,comment
p001,morfonica__223,morfonica,祝福 (Cover),https://youtu.be/A8BRPZIHCs4,"자신의 선택으로 운명을 개척하고, 함께 싸워 나가겠다는 결심과 희망을 품은 이야기",결심,희망,transcript,,
p002,raise_a_suilen__532,raise_a_suilen,POLARIS,https://youtu.be/M-6HMvPPnLM,"이 곡은 자신의 존재와 정체성에 대한 불안과 고민, 그리고 그에 대한 깨달음과 새로운 시작에 대한 열망을 노래한다.",불안,자유,transcript,,
p003,poppin_party__377,poppin_party,走り始めたばかりのキミに,https://youtu.be/pBKo-SAbtcM,"앞으로의 길에 대한 불안과 두려움을 느끼지만, 함께할 수 있는 사람과 꿈을 향해 나아가는 희망과 결심이 담긴 노래이다.",희망,결심,transcript,4,"좋은 묘사. 희망과 결심이 메인 키워드고, 오히려 서브 키워드가 불안과 두려움이 나을 것 같음. 각자의 불안을 안고서도 사랑과 꿈을 노래하자는게 이 노래의 포인트임."
p004,raise_a_suilen__513,raise_a_suilen,Repaint,https://youtu.be/eJp3_buirj4,"이 곡은 현실 세계의 제약과 고통을 극복하고 이상적인 삶을 추구하는 과정에서 느끼는 갈등과 도전을 표현하며, 궁극적으로는 자유와 성취를 향한 열망을 노래한다.",좌절,자유,transcript,,
p005,poppin_party__475,poppin_party,ミュージック・アワー (Cover),https://youtu.be/dwYnaJHhnmw,"이 곡은 사랑과 그리움, 그리고 꿈에 대한 열망을 표현하며, 인생의 복잡함과 사랑의 어려움을 겪는 감정을 섬세하게 전달한다.",그리움,열망,transcript,,
p006,ave_mujica__076,ave_mujica,八芒星ダンス,https://youtu.be/tevtnb427Mw,"이 곡은 밤의 열기와 열정, 그리고 자유를 찾아서 자신의 본능을 따라가는 감정을 담고 있다.",열정,자유,transcript,,
p007,poppin_party__480,poppin_party,＊〜アスタリスク〜 (Cover),https://youtu.be/nAmOOEi3LHc,"이 노래는 밤하늘의 별빛을 보며 과거의 추억과 소망을 떠올리고, 그 감정을 간직한 채로 앞으로 나아가며 언젠가 누군가의 마음에 우리의 생각이 빛처럼 지속될 것이라는 희망과 감동을 표현한다.",별,희망,transcript,,
p008,roselia__586,roselia,Avant-garde HISTORY,https://youtu.be/C3vzihABDZQ,"이 곡은 고통과 슬픔을 극복하고 희망과 감사의 메시지를 전달하며, 끊임없는 도전과 성장을 통해 영원히 전진하는 삶의 서사를 표현한다.",희망,극복,transcript,,
p009,raise_a_suilen__522,raise_a_suilen,Hey-day狂騒曲(カプリチオ),https://youtu.be/dQuVrNLZOFM,"이 곡은 누군가의 지친 일상과 그에 따른 감정을 위로하고, 희망과 아름다움이 가득한 미래를 꿈꾸게 하는 서사를 그리고 있다.",희망,피로,transcript,,
p010,roselia__652,roselia,Red fraction (Cover),https://youtu.be/SF1JjeTPbU4,"이 곡은 자유와 구속, 고통과 열망을 오가는 복잡한 감정 속에서 자신과 타인과의 관계를 모색하는 서사를 담고 있다.",고통,자유,transcript,,
p011,raise_a_suilen__526,raise_a_suilen,That Is How I Roll! (ライブ / アンコール),https://youtu.be/inRDSCi2O_E,"자신의 삶을 긍정적으로 살고자 하는 의지와 자기성찰, 그리고 일상의 탈출에 대한 열망이 담긴 곡이다.",자유,성찰,transcript,,
p012,poppin_party__397,poppin_party,Breakthrough!,https://youtu.be/jL9BEY5Lt7Q,"이 곡은 꿈을 향해 도전하고 열정을 불태우며, 진정한 사랑과 우정을 추구하고, 현재를 온전히 살아가며 미래를 향해 전진하는 삶의 이야기를 담고 있다.",열정,자유,transcript,,
p013,afterglow__042,afterglow,“Say cheese!!!!!”,https://youtu.be/RHGk1uT_yMc,"이 곡은 일상 속에서 특별함을 찾고, 친구와 함께하는 시간을 소중히 여기는 내용으로, 따뜻한 감정과 기쁨이 가득하다.",기쁨,감사,transcript,,
p014,raise_a_suilen__528,raise_a_suilen,Apocalypse,https://youtu.be/0fBH7M4EY1M,절망과 고통 속에서 예술과 저항의 목소리를 내며 세상을 변화시키고자 하는 열망과 의지로 가득 찬 이들의 이야기는 희망찬 새 세상을 향한 외침으로 울려 퍼진다.,저항,희망,transcript,,
p015,raise_a_suilen__551,raise_a_suilen,激動 (Cover),https://youtu.be/AacM4_SwEPc,"이 곡은 상실과 그리움을 통해 과거의 추억과 감정을 되돌아보고, 미래를 준비하는 과정을 노래한다.",상실,그리움,transcript,,
p016,roselia__608,roselia,Second to None,https://youtu.be/qqEMtc1NtGk,"이 곡은 과거를 단절하고 자신감과 확신을 가지고 미래를 향해 나아가며, 끊임없는 도전과 성장을 통해 최고의 자신을 실현하고자 하는 의지와 각오를 표현하고 있다.",자신감,도전,transcript,,
p017,mugendai_mutype__237,mugendai_mutype,アイの夢限,https://youtu.be/fSa8XH8d-T4,"두 사람이 서로의 불완전함을 인정하고, 서로를 사랑하고 받아들이는 과정을 표현하는 노래이다.",사랑,불안정,transcript,2,"메타포적인 은유로, 곡 명에서 '아이의 꿈'임을 암시함. 그런 청소년기의 자아에 대해 두 사람으로 나누어 묘사하는 것임. 자기 자신에게 매몰차게 굴면서도 스스로를 사랑하고 싶다는 의미임. 가사에 이런 은유적인 표현이 있는 경우 직역로는 속뜻을 파악할 수 없어 이에 대한 대책이 필요."
p018,mygo__300,mygo,春日影,https://youtu.be/wRwQUk0Dl30,외로운 마음이 절망 속에서도 작은 빛을 찾아 사랑을 붙잡으려는 갈망을 그린다.,외로움,희망,transcript,,
p019,pastel_palettes__327,pastel_palettes,ドリームパレード,https://youtu.be/TOIuxE3mMcI,평범한 일상에 싫증을 느끼던 주인공이 친구들과 함께 모험을 떠나며 꿈과 희망을 찾아가는 이야기이다.,희망,자유,transcript,,
p020,raise_a_suilen__495,raise_a_suilen,Beautiful Birthday,https://youtu.be/AxEUw6LdHR4,"이 곡은 사랑하는 사람과 함께한 과거의 행복한 순간들을 그리며, 사랑의 상실과 그리움에 따른 고통을 표현하고 있다.",그리움,고통,transcript,,
p021,mygo__274,mygo,明弦音,https://youtu.be/6sJ7vXe_oMU,불안과 방황 속에서도 멈추고 다시 일어서는 용기를 찾아 내일을 믿으며 나아가는 이야기다.,불안,희망,transcript,,
p022,poppin_party__393,poppin_party,ガールズコード,https://youtu.be/94djfHnNylA,"일상의 소소한 즐거움과 우정을 나누는 가운데, 잠시 동안 잊었던 감정들을 다시금 느끼며 서서히 변화하는 계절을 받아들이는 이야기",행복,그리움,transcript,,
p023,poppin_party__486,poppin_party,ヴァンパイア (Cover),https://youtu.be/I_TIPc02Ros,"이 곡은 자아 발견과 욕망, 사랑과 괴로움의 복잡한 감정을 탐구하며, 어둡고 중독성 있는 욕망에 빠져드는 젊은 여성의 내면을 표현한다.",절망,중독,transcript,,
p024,pastel_palettes__331,pastel_palettes,ゆりゆららららゆるゆり大事件,https://youtu.be/pSH0gYedUEg,"이 곡은 일상의 소소한 즐거움과 고민, 그리고 다가오는 변화에 대한 설렘과 기대를 노래하며, 그 속에서 느끼는 감정의 기복과 성장을 향한 열망을 표현한다.",설렘,성장,transcript,,
p025,hello_happy_world__165,hello_happy_world,いーあるふぁんくらぶ (Cover),https://youtu.be/uchoxbR-Mkc,새로운 여행을 시작하며 설렘과 불안 속에서 사람들을 만나 꿈과 사랑을 찾아가는 이야기,설렘,혼란,transcript,,
p026,poppin_party__451,poppin_party,どきどきSING OUT!,https://youtu.be/Y-tnOBf-byo,"이 곡은 꿈과 사랑을 좇는 과정에서 겪는 다양한 감정을 통해, 끊임없이 전진하며 자신의 감정을 표현하고 타인과의 연결을 추구하는 서사를 그리고 있다.",희망,그리움,transcript,,
p027,afterglow__002,afterglow,SENSENFUKOKU,https://youtu.be/RDZUbagvt0E,"이 곡은 자신의 감정을 마구 표현하며, 과거의 상처를 극복하고 앞으로 나아가는 강한 의지와 자신감을 나타낸다.",자신감,열정,transcript,5,락 사운드가 이 묘사를 잘 표현함.
p028,mygo__273,mygo,歩拾道,https://youtu.be/EEeYU4-dhZk,"상처받은 몸과 마음으로도 멈추지 않고, 자신만의 속도로 한 걸음씩 나아가며 따뜻한 인간미와 희망을 찾아가는 이야기.",희망,고독,transcript,,
p029,afterglow__047,afterglow,Bunny Girl (Cover),https://youtu.be/9zRb7Kd0mOw,"사랑의 시작과 끝을 담은 밤의 이야기, 사랑과 상실의 감정을 담고 있다.",사랑,상실,transcript,,
p030,hello_happy_world__110,hello_happy_world,YAPPY! SCHOOL CARNIVAL☆彡,https://youtu.be/xNA7DZfdstI,"이 노래는 학교 축제의 즐거움과 청춘의 기쁨을 표현하며, 모든 사람이 주인공이 되어 즐기고笑い하며 살아갈 것을 권유한다.",기쁨,청춘,transcript,,
p031,hello_happy_world__119,hello_happy_world,きらっ☆と キミフェス！,https://youtu.be/VRSbIOh8w3U,"이 노래는 밝고 활기찬 분위기에서 시작하여, 상대방을 향한 감사의 마음과 함께 꿈을 향해 나아가는 희망과 자신감을 담고 있다.",희망,감사,transcript,,
p032,morfonica__222,morfonica,メロウ (Cover),https://youtu.be/falfRIZceKw,"눈부신 감정에 눈을 돌리며 말 못할 외로움을 품은 채, 약함을 인정하고 함께 나아가려는 갈망과 희망을 품는다.",그리움,희망,transcript,,
p033,mugendai_mutype__239,mugendai_mutype,みゅーたんとミュータント,https://youtu.be/qnHJDWgLkvw,"이 곡은 삶의 무한한 가능성과 도전을 받아들이며, 실패와 고통을 통해 성장하고 새로운 세계를 열어가는 과정을 표현한다.",도전,성장,transcript,4,적절한 묘사. 곡조가 리드미컬하게 톡톡 튀는 특징도 있음.
p034,pastel_palettes__337,pastel_palettes,Radiate Warriors,https://youtu.be/dS-SUwftzmM,"이 곡은 불확실성과 어려움을 극복하고 앞으로 나아가며, 포기하지 않고 진정성 있는 자신의 모습을 잃지 않으려는 의지와 희망을 표현하고 있다.",희망,불안,transcript,,
p035,hello_happy_world__108,hello_happy_world,スマイルブーケで た〜まや〜！,https://youtu.be/37b4LJg0yFk,어린 시절의 즐거운 추억과 함께 미래를 향한 희망과 기대가 가득한 마음을 표현한다.,희망,기쁨,transcript,5,좋은 묘사.
p036,roselia__623,roselia,Call the shots,https://youtu.be/VBn-ME6-jGs,"이 곡은 개인의 성장과 도전을 통해 자신의 운명을 개척해 나가며, 끊임없는 도전과 자기 극복을 통해 이상을 실현하려는 의지와 감정을 표현하고 있다.",도전,성장,transcript,,
p037,poppin_party__468,poppin_party,MATSURI BAYASHI (Cover),https://youtu.be/Gpkg81TpkSA,"청춘기의 설렘과 불안, 그리고 그 순간의 아름다움을 추억하는 서정적인 이야기",설렘,그리움,transcript,,
p038,pastel_palettes__326,pastel_palettes,気まぐれロマンティック,https://youtu.be/Awn0evP-X4k,연인과 함께 새로운 행복을 향해 달려가며 설렘과 사랑을 간직한 갈망이다.,희망,열정,transcript,,
p039,ave_mujica__094,ave_mujica,DIVINE,https://youtu.be/6bA-vjvi9oI,이 노래는 어둠과 혼란이 가득한 세계에서 사랑과 진실을 찾아가는 여정의 감동을 담고 있다.,사랑,혼란,transcript,,
p040,hello_happy_world__117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,https://youtu.be/fTgVisxMdOQ,"이 곡은 세계를 행복과 웃음으로 채우고, 상대방을 기쁘게 만들기 위해 노력하는 내용을 담고 있다.",행복,웃음,transcript,,
p041,morfonica__191,morfonica,誓いのWingbeat,https://youtu.be/nnpD32__lAY,"우리는 눈물과 어둠을 딛고 포기하지 않으며, 희망을 품고 날아오르는 과정을 그린다.",희망,용기,transcript,,
p042,poppin_party__391,poppin_party,二重の虹(ダブル レインボウ),https://youtu.be/sNaJuqFB-_g,과거의 추억과 현재의 설렘을 바탕으로 미래로의 도전을 시작한 두 사람이 함께하는 순간을 소중히 여기며 새로운 시작을 맞이하는 이야기,희망,설렘,transcript,,
p043,mugendai_mutype__250,mugendai_mutype,Hi-Vision,https://youtu.be/a1-SB-tFYmI,"어두운 도시와 파편 같은 삶을 배경으로, 불완전한 세상의 아름다움을 찾아 끊임없이 재시작하며 절망 속에서도 희망과 사랑을 갈구한다.",절망,희망,transcript,,
p044,afterglow__035,afterglow,That's why I'm here.,https://youtu.be/Q0l5OZb3Fr8,"이 곡은 사랑하는 사람을 향한 깊은 감정과 함께, 두 사람의 관계를 지키고자 하는 의지와 희망을 담고 있다.",사랑,희망,transcript,,
p045,mugendai_mutype__251,mugendai_mutype,コハク,https://youtu.be/XYCI2LzEnZA,"반복되는 풍경 속에서 자신을 찾지 못한 채 고독과 불안을 안고, 따뜻한 연결을 갈망하지만 두려움에 사로잡힌다.",고독,불안,transcript,,
p046,raise_a_suilen__512,raise_a_suilen,灼熱 Bonfire!,https://youtu.be/Uh2MjQ9Q324,격렬한 열정과 반항 정신을 앞세워 일상의 부정적인 감정을 극복하고 해방감을 느끼는 과정,열정,반항,transcript,,
p047,afterglow__025,afterglow,カサブタ,https://youtu.be/-0QIHYtgwwQ,어른이 된 후에도 자신의 꿈과 이상을 잃지 않으려는 노력과 그 과정에서 겪는 어려움을 표현하는 노래이다.,자유,열정,transcript,,
p048,raise_a_suilen__552,raise_a_suilen,メギツネ (Cover),https://youtu.be/FHdbSnHhlts,"이 노래는 시간과 공간을 초월하여 살아남은 존재들이 겪는 혼돈과 자유에 대한 이야기로, 모험과 해방감을 표현하고 있다.",혼돈,자유,transcript,,
p049,afterglow__006,afterglow,"Easy come, Easy go!",https://youtu.be/erY4I7Irk0E,"이 곡은 삶의 도전과 사랑을 향한 열망을 담고 있으며, 자신을 믿고 앞으로 나아가는 과정에서 느끼는 감정을 표현하고 있다.",도전,사랑,transcript,,
p050,mugendai_mutype__240,mugendai_mutype,チューニング,https://youtu.be/gJqvYYkdkC8,서로 다른 마음을 조율하며 이해와 사랑을 찾아가려는 두 사람의 갈망과 희망이 담긴 이야기.,희망,갈망,transcript,,
p051,hello_happy_world__151,hello_happy_world,えがお、み〜っけた！,https://youtu.be/Gvey12GFPwU,"친구와 함께하는 모든 순간이 웃음과 행복으로 가득 차, 언제나 새롭고 따뜻한 추억을 만들어가는 이야기다.",행복,우정,transcript,,
p052,afterglow__043,afterglow,花笑みのデュオ,https://youtu.be/m6jnZ8qDw-E,함께 앞으로 나아가며 서로의 마음을 이해하고 받아들이는 과정에서 느끼는 감정과 상황을 표현하는 노래이다.,자유,희망,transcript,,
p053,morfonica__194,morfonica,Wreath of Brave,https://youtu.be/5O3gAE65_34,"서로에게 힘이 되어 함께 나아가며, 희망과 용기로 새로운 자유를 향해 나아가는 이야기",희망,용기,transcript,,
p054,raise_a_suilen__519,raise_a_suilen,えがおのオーケストラっ！,https://youtu.be/Vlp3NkDZh7c,이 곡은 새로운 도전을 두려워하지 않고 친구들과 함께 손을 잡고 앞으로 나아가며 행복과 웃음을 전파하는 메시지를 전한다.,희망,우정,transcript,,
p055,afterglow__045,afterglow,abnormalize (Cover),https://youtu.be/PORDvsXEOjA,"이 노래는 현실과 이상의 세계 사이에서 방황하며 진실과 허구를 구분하지 못하는 혼란스러운 감정과, 자신이 속한 세계에 대한 불만과 불쾌감을 표현한다.",혼란,불만,transcript,,
p056,morfonica__197,morfonica,両翼のBrilliance,https://youtu.be/O0jB7IA5tZg,절망과 고통을 딛고 포기하지 않는 결심과 희망으로 미래를 향해 나아가는 모습을 그린다.,희망,결의,transcript,,
p057,raise_a_suilen__506,raise_a_suilen,Sacred world,https://youtu.be/4b3deIpxkSk,어둡고 불안한 상황에서 벗어나기 위해 스스로를 희생하고 운명을 받아들이는 과정에서의 갈등과 고뇌를 표현한 곡이다.,절망,저항,transcript,,
p058,pastel_palettes__309,pastel_palettes,きゅ～まい＊flower,https://youtu.be/_Y2me3JTTd4,힘겨운 일상 속에서도 포기하지 않고 꿈을 향해 피어나며 나아가는 소녀의 결연한 의지와 희망을 노래한다.,결연,희망,transcript,,
p059,ave_mujica__082,ave_mujica,神さま、バカ,https://youtu.be/OT9KqYBAkQc,불확실한 상황에서 의미와 정의를 찾으려는 노력과 그로 인한 혼란과 고통이 담겨 있다.,불확실,고통,transcript,,
p060,roselia__640,roselia,右肩の蝶 (Cover),https://youtu.be/XfrqZWj8jD0,"이 곡은 상실과 고통, 그리움과 불안이 뒤섞인 복잡한 감정을 표현하며, 내면의 아픔과 혼란을 겪는 사람의 심정을 묘사한다.",그리움,고통,transcript,,
p061,raise_a_suilen__542,raise_a_suilen,RUNAWAY STAR,https://youtu.be/DkMyx_sLMlk,"이 곡은 어둠을 헤쳐나가며 앞으로 나아가는 주인공이 느끼는 강한 의지와 혼돈, 자유에 대한 욕구를 그리며, 진정한 빛과 자신을 발견하는 여정을 통해 내면의 평화와 용기를 얻는 서사를 그리고 있다.",자유,혼돈,transcript,,
p062,ave_mujica__092,ave_mujica,素晴らしき世界 でも どこにもない場所,https://youtu.be/MyI6sKuV4kY,"이 노래는 자신의 이상향을 향해 나아가기 위해 끊임없이 노력하고 도전하는 과정을 표현하며, 그 과정에서 느끼는 감정의 복잡함과 혼란을 담고 있다.",도전,혼란,transcript,,
p063,afterglow__060,afterglow,命に嫌われている。 (Cover),https://youtu.be/03BGdH5H5xE,"죽음과 삶의 의미에 대한 고민과矛盾을 안고 살아가는 젊은이들의 심경을 표현한 노래로, 죽음의 공포와 삶의 무의미함을 느끼면서도 살아가는 의지를 담고 있다.",무의미,절망,transcript,,
p064,hello_happy_world__177,hello_happy_world,シルエット (Cover),https://youtu.be/n7U-z7okdBM,"우리는 미지의 길을 달리며 성장 속에 변치 않는 소중함을 깨닫고, 결국 모든 것을 웃으며 받아들이는 이야기를 그린다.",희망,성장,transcript,,
p065,afterglow__065,afterglow,午夜の待ち合わせ (Cover),https://youtu.be/jUMn-Sg_nq8,"곡은 어둠과 절망이 가득한 상황에서 주인공이 자신의 감정을 직면하고, 고통과 두려움을 느끼며, 결국에는 새로운 시작을 향해 나아가는 과정을 표현한다.",절망,고통,transcript,,
p066,raise_a_suilen__493,raise_a_suilen,UNSTOPPABLE,https://youtu.be/HTxkTejTs8E,"이 곡은 내면의 허무함과 불안을 극복하고자 하는 열망과 좌절, 그리고 진정한 아름다움과 만족을 갈구하고 탐구하는 서사를 그리고 있다.",허무,불안,transcript,,
p067,roselia__657,roselia,My Dearest (Cover),https://youtu.be/PeeD7-Mek8k,"이 곡은 혼자였던 주인공이 누군가를 만나 자신의 모든 것을 그 사람에게 바치며 희망과 위로를 주는 과정을 통해, 함께 어려움을 극복하고 행복을 찾자는 메시지를 전달한다.",희망,위로,transcript,,
p068,morfonica__193,morfonica,Polyphonyscape,https://youtu.be/I6h4Rm32k-I,서로의 마음을 노래하며 어려움을 딛고 함께 새로운 희망의 풍경을 만들어 나가는 이야기,희망,연결,transcript,,
p069,hello_happy_world__156,hello_happy_world,シカ色デイズ (Cover),https://youtu.be/KaD3F8riuLE,청춘의 혼란 속에서도 운명과 자유를 향한 활기찬 열정을 노래한다.,혼돈,희망,transcript,,
p070,hello_happy_world__129,hello_happy_world,えがお、あーゆーれでぃ???,https://youtu.be/DAxR0sfi-pk,당신만이 할 수 있는 일을 시작해 밝고 행복한 미래를 함께 향해 나아가는 이야기다.,희망,우정,transcript,,
p071,raise_a_suilen__515,raise_a_suilen,CORUSCATE -DNA-,https://youtu.be/1NgjttSojKw,"자신에 대한 끊임없는 자각과 반추를 통해 내면의 혼란과 갈등을 겪지만, 결국 자신의 아이덴티티를 찾고 앞으로 나아가는 과정에 대한 이야기",혼란,각성,transcript,,
p072,hello_happy_world__128,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,https://youtu.be/wPDP9eT2-Cs,"스스로의 한계를 깨고 용기를 내어 희망을 찾으며, 모든 이가 가지고 있는 힘으로 슬픔을 이겨내고 행복을 향해 나아가는 이야기",희망,용기,transcript,,
p073,mygo__260,mygo,迷星叫,https://youtu.be/V6gq-6dAbHA,"혼자서 방황하며 의미를 찾으려는 과정을 담은 노래로, 주변의 소음과 혼란 속에서 자신의 목소리를 내고자 하는 갈망이 느껴진다.",방황,갈망,transcript,2,묘사는 제대로 묘사하였음. 그러나 주제의식은 방황 속에서도 자신들의 목소리를 힘껏 내자는 결의가 느껴지는 곡임. 키워드가 우선순위가 있다면 이는 뒤바뀜.
p074,pastel_palettes__357,pastel_palettes,みくみくにしてあげる♪【してやんよ】 (Cover),https://youtu.be/LwR74MCem6w,이 곡은 약자와 소외된 이들을 위로하고 그들을 위해 싸우며 그들과 함께하겠다는 의지와 사랑을 표현하고 있다.,희망,연민,transcript,,
p075,hello_happy_world__169,hello_happy_world,GO! GO! MANIAC (Cover),https://youtu.be/sDFuLB7r070,삶의 혼란 속에서도 함께 꿈을 찾아 나아가며 희망과 열정을 나누는 이야기,희망,열정,transcript,,
p076,hello_happy_world__176,hello_happy_world,SHINY DAYS (Cover),https://youtu.be/w0kOSCWzEx8,"새로운 시작을 향한 설렘과 용기로 가득 찬, 밝은 미래를 향해 나아가는 이야기.",희망,설렘,transcript,,
p077,raise_a_suilen__505,raise_a_suilen,EXIST,https://youtu.be/Vo3lvsrP9mY,이 곡은 험난한 세상 속에서 삶의 어려움을 온몸으로 받아들이며 끝까지 자신의 길을 걸어가는 한 개인의 내적 갈등과 절실한 의지를 표현하고 있다.,고난,의지,transcript,,
p078,hello_happy_world__159,hello_happy_world,許婚っきゅん (Cover),https://youtu.be/X9VNpJdPGWE,복잡하고 어수선한 생각들 속에서 사랑에 대한 설렘과 불안이 뒤섞인 청춘의 혼란을 그린다.,설렘,불안,transcript,,
p079,raise_a_suilen__536,raise_a_suilen,Drown Out the Noise and Push Through the Trash,https://youtu.be/EELGtL1U1vw,"차갑고 냉랭한 세계에서 벗어나 밝은 미래를 향해 나아가고자 하는 열망과 좌절, 그리고 궁극적으로는 희망과 저항의 메시지를 담은 감동적인 이야기이다.",절망,저항,transcript,,
p080,hello_happy_world__115,hello_happy_world,えがおのオーケストラっ！,https://youtu.be/24Xzx6dH5tg,"이 노래는 밝고 활기찬 분위기에서 시작하여, 모두가 함께 손잡고 하나가 되는 감정을 표현하며, 서로의 마음을 하나로 모으는 감동을 전달한다.",기쁨,단결,transcript,,
p081,poppin_party__409,poppin_party,夢を撃ち抜く瞬間に！,https://youtu.be/Y8-nQ9ehgZE,"이 곡은 꿈과 희망을 향해 달려가는 과정에서의 설렘과 행복, 그리고 그 꿈을 함께 이루고 싶은 사랑과 열망을 노래한다.",희망,사랑,transcript,,
p082,mugendai_mutype__238,mugendai_mutype,どんがらがっしゃん,https://youtu.be/DvZohC30iOw,"이 세계는 처음부터 오류와 혼란으로 가득 차 있으며, 개인의 자유와 행복을 추구하는 것이 중요하다는 메시지를 전하는 곡이다.",혼란,자유,transcript,5,"아주 좋은 묘사. 그러나 순서가 뒤바뀜. 메인 주제는 자유와 행복을, 서브 주제로는 혼란이 나은듯."
p083,raise_a_suilen__543,raise_a_suilen,Bad Kids All Bet,https://youtu.be/mKt2u5a3-H8,"이 곡은 끊임없는 도전과 성장을 추구하며, 자신감과 열정으로 가득 찬 삶의 서사를 그리고 있다.",자신감,열정,transcript,,
p084,poppin_party__405,poppin_party,Returns,https://youtu.be/zWKV5yudE18,멀어졌던 자신의 뿌리를 돌아보고 진정한 꿈을 찾아가는 과정에서의 설렘과 그리움을 표현한 곡이다.,설렘,그리움,transcript,,
p085,raise_a_suilen__567,raise_a_suilen,恋しさとせつなさと心強さと (Cover),https://youtu.be/8XRwP6pLi_s,"이 곡은 사랑과 그리움, 그리고 성장의 고통과 아름다움을 통해 영원한 청춘의 순간을 그리워하며, 과거를 반복하지 않고 앞으로 나아가고자 하는 메시지를 전한다.",그리움,성장,transcript,,
p086,roselia__596,roselia,Always recall.,https://youtu.be/M5h9Td238hI,"이 곡은 어려운 현실에 직면하여도 포기하지 않고 앞으로 나아가며, 희망을 잃지 않고 자신의 미래를 위해 노력하는 삶의 이야기를 그리고 있다.",절망,희망,transcript,,
p087,morfonica__233,morfonica,unravel (Cover),https://youtu.be/uRaB7qZwZP4,"자신이 부서진 존재임을 깨달은 채, 사랑하는 이를 잃지 않으려 애쓰면서도 진실을 찾고 파괴와 구원의 사이에서 갈등하는 이야기",절망,갈등,transcript,,
p088,morfonica__195,morfonica,Merry Merry Thanks!!,https://youtu.be/j3W3NHurJnk,"함께하는 이들의 따뜻한 사랑과 기쁨이 가득한 크리스마스 밤, 서로를 선물처럼 여기며 기적 같은 행복을 나눈다.",따뜻함,희망,transcript,,
p089,raise_a_suilen__560,raise_a_suilen,Just Awake (Cover),https://youtu.be/nyn9h6BraQ4,"이 노래는 사랑하는 사람과 떨어져 있는 상황에서 느끼는 그리움과 고독, 그리고 그 사람에 대한 끊임없는 사랑을 표현한다.",그리움,고독,transcript,,
p090,raise_a_suilen__535,raise_a_suilen,'FIGHT' ADDICT,https://youtu.be/gHqSTnDDmJk,"이 노래는 자기 자신을 극복하고 성장해 나가는 과정에서의 각오와 의지를 표현하며, 한계와 어려움을 극복하고 무한한 가능성을 실현해 나가는 서사를 그리고 있다.",각오,성장,transcript,,
p091,raise_a_suilen__490,raise_a_suilen,Invincible Fighter,https://youtu.be/m5z-mCUwmxM,"이 곡은 도전과 승리, 그리고 끊임없는 노력의 중요성을 강조하며, 자신의 꿈과 목표를 위해 전심으로 싸워야 한다는 메시지를 전달한다.",도전,승리,transcript,5,"차분한 락 사운드로 시동을 걸고, 일렉트로 락 사운드로 도전과 승리를 노래하는 곡."
p092,poppin_party__470,poppin_party,トウキョウ・シャンディ・ランデヴ (Cover),https://youtu.be/FWdBp0JXxhs,"이 곡은 불완전한 관계와 감정의 혼란을 경험하는 사람의 심정을 표현하며, 상실감과 애틀이한 감정 속에서 방황하는 서사를 담고 있다.",불안,상실,transcript,,
p093,raise_a_suilen__541,raise_a_suilen,WHAT AN EXPLOSION,https://youtu.be/5AL7kBxbMI8,"자신들의 음악적 열정과 야망을 불태우며, 고난과 충돌을 겪더라도 끝없이 도전하고 성취하려는 젊은이들의 이야기",열정,도전,transcript,,
p094,hello_happy_world__111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,https://youtu.be/YRQHVpYDHAU,"이 곡은 밝고 행복한 분위기에서 시작하여, 사람들을 웃게 하고 행복하게 만드는 것의 중요성을 강조하며, 결국에는 모두가 함께 웃고 행복해지는 장면을 그린다.",행복,웃음,transcript,,
p095,poppin_party__414,poppin_party,夏のドーン！,https://youtu.be/xtgdECulbbw,이 곡은 여름 축제의 밤을 배경으로 두 사람이 함께 즐거운 시간을 보내는 동안 느끼는 설렘과 행복을 노래한다.,설렘,행복,transcript,,
