prompt_idx,prompt,n_calls,stage_counts,stage_minutes_per_call
0,더운 저녁을 식혀주는 5단계 노래. 마지막에 차분한 구간을 길게 해줘.,3,"5,5,5","[5.0, 5.0, 5.0, 5.0, 20.0] | [8.0, 8.0, 8.0, 8.0, 13.0] | [10.0, 10.0, 10.0, 10.0, 20.0]"
1,"신나는 파티, 텐션 최고조로 끌어올려줘 60분",3,"4,3,3","[15.0, 15.0, 15.0, 15.0] | [10.0, 40.0, 10.0] | [15.0, 30.0, 15.0]"
2,"우울하고 무거운 밤, 조용히 침잠하는 발라드만",3,"2,2,2","[15.0, 15.0] | [15.0, 15.0] | [15.0, 15.0]"
3,"아침 조깅용 30분, 점점 빨라지는 흐름",3,"3,4,4","[10.0, 10.0, 10.0] | [7.5, 7.5, 7.5, 7.5] | [7.5, 7.5, 7.5, 7.5]"
4,주말 드라이브에 어울리는 밝은 플레이리스트 45분,3,"3,3,3","[15.0, 15.0, 15.0] | [15.0, 15.0, 15.0] | [15.0, 15.0, 15.0]"
5,시험공부 집중용 잔잔한 배경음악 90분,3,"3,3,3","[30.0, 30.0, 30.0] | [30.0, 30.0, 30.0] | [30.0, 30.0, 30.0]"
6,잠들기 직전 듣는 아주 조용한 곡,3,"2,2,2","[10.0, 10.0] | [10.0, 10.0] | [8.0, 7.0]"
7,비 오는 날 창밖 보며 듣는 잔잔한 노래,3,"3,2,2","[10.0, 10.0, 10.0] | [15.0, 15.0] | [15.0, 15.0]"
8,혼자 청소하면서 듣는 무난한 배경음악,3,"3,2,3","[10.0, 10.0, 10.0] | [15.0, 15.0] | [13.33, 13.33, 13.34]"
9,"유산소 운동 마무리, 격렬했다가 서서히 식는 흐름 40분",3,"4,3,3","[12.0, 10.0, 8.0, 10.0] | [15.0, 10.0, 15.0] | [15.0, 15.0, 10.0]"
