eval_id,query_id,prompt_text,band,song,url,score,comment
1,R11,중간 정도 텐션에 살짝 우울한 느낌으로.,poppin_party,私の心はチョココロネ,https://youtu.be/ZnaBCQTeHYI,1,전혀 우울한 노래가 아님.
2,R07,완전 조용하고 힘 빠진 노래로 채워줘.,ave_mujica,The Whole Blue World,https://youtu.be/lkS9XIzWObc,1,
3,R02,roselia 노래 중에 무겁고 진지한 분위기로 틀어줘.,roselia,Sage der Rosen,https://youtu.be/z0jU3sNiA44,5,
4,R21,가라앉은 기분에서 서서히 힘을 되찾는 느낌으로.,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,https://youtu.be/Eq0Mo7Ca02I,5,
5,R20,천천히 달아오르는 파티 분위기로 만들어줘.,poppin_party,八月のif,https://youtu.be/y_wsqM33BaY,4,
6,R04,mygo 노래로 조용히 감성에 잠기고 싶어.,mygo,素寄曲,https://youtu.be/uZSAArx6jKM,5,
7,R15,장거리 운전할 때 졸음 안 오게 들을 노래.,poppin_party,どきどきSING OUT!,https://youtu.be/Y-tnOBf-byo,4,
8,R09,햇살 가득한 것처럼 밝은 노래 듣고 싶어.,various_artists,"Here, the world",https://youtu.be/LuwRRghPD1A,5,
9,R19,"달리기 준비운동부터 본운동, 마무리까지 이어지는 러닝 플레이리스트.",raise_a_suilen,EXIST,https://youtu.be/Vo3lvsrP9mY,4,
10,R08,미친듯이 텐션 폭발하는 노래로 채워줘.,poppin_party,Future Place,https://youtu.be/JonvwJvZFv4,4,
11,R02,roselia 노래 중에 무겁고 진지한 분위기로 틀어줘.,roselia,陽だまりロードナイト,https://youtu.be/KjgjeK-ppd0,2,"진지하긴 한데, 무거운 느낌은 아냐."
12,R17,친구 생일파티에서 틀 노래.,poppin_party,Home Street,https://youtu.be/_n8qGOBD0J8,4,
13,R18,잠들기 전 조명 끄고 듣는 노래.,poppin_party,キミにもらったもの,https://youtu.be/gu85qKfXfj8,5,
14,R01,poppin'party 노래로 신나게 하루 시작하고 싶어.,poppin_party,花咲く未来に,https://youtu.be/rTVN1M1DNx8,4,
15,R09,햇살 가득한 것처럼 밝은 노래 듣고 싶어.,poppin_party,STAR BEAT!～ホシノコドウ～,https://youtu.be/RtKwXh18gkc,5,
16,R12,살짝 들뜨는데 시끄럽진 않은 노래로.,mygo,春日影,https://youtu.be/wRwQUk0Dl30,4,
17,R06,hello happy world 노래로 밝고 유쾌하게 놀고 싶어.,hello_happy_world,ハピネスっ！ハピィーマジカルっ♪,https://youtu.be/wPDP9eT2-Cs,5,
18,R01,poppin'party 노래로 신나게 하루 시작하고 싶어.,poppin_party,雨上がり、キミと,https://youtu.be/6PWbcFhH1sc,5,
19,R06,hello happy world 노래로 밝고 유쾌하게 놀고 싶어.,hello_happy_world,Happy! Happier! Happiest!,https://youtu.be/xpECEzVaWH8,4,
20,R14,독서할 때 배경으로 틀어놓을 노래.,raise_a_suilen,DEPARTURES (Cover),https://youtu.be/TLq1MbV686M,1,책읽기에는 아주 조용한 노래가 제격이야.
21,R23,"새벽 드라이브, 조용히 출발해서 해뜰 때쯤 신나지는 느낌으로.",mygo,迷星叫,https://youtu.be/V6gq-6dAbHA,4,
22,R07,완전 조용하고 힘 빠진 노래로 채워줘.,morfonica,esora no clover,https://youtu.be/fGgKN9_egCM,4,"힘빠지는 노래가 맞긴 한데, 완전 조용하지는 않음."
